instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://online-presence.net/opo/ns#Active	http://online-presence.net/opo/ns#Activity	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#Inactive	http://online-presence.net/opo/ns#Activity	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#ProlongedInactive	http://online-presence.net/opo/ns#Activity	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#ConstrainedContactability	http://online-presence.net/opo/ns#Contactability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#FreelyContactable	http://online-presence.net/opo/ns#Contactability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#Available	http://online-presence.net/opo/ns#Disturbability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#DoNotDisturb	http://online-presence.net/opo/ns#Disturbability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#ConstrainedFindability	http://online-presence.net/opo/ns#Findability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#PubliclyFindable	http://online-presence.net/opo/ns#Findability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#AllNotificationsPass	http://online-presence.net/opo/ns#Notifiability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#NotificationsConstrained	http://online-presence.net/opo/ns#Notifiability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#NotificationsProhibited	http://online-presence.net/opo/ns#Notifiability	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#Invisible	http://online-presence.net/opo/ns#Visibility	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
http://online-presence.net/opo/ns#Visible	http://online-presence.net/opo/ns#Visibility	0	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#	http://online-presence.net/opo/ns#
