instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://purl.org/cerif/frapo/building-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/consultancy-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/consumables-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/contributions-in-kind	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/directly-allocated-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/directly-incurred-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/estates-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/facilities-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/full-economic-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/indirect-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/non-staff-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/other-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/overhead-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/publishing-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/service-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/software-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/travel-and-subsistence-costs	http://purl.org/cerif/frapo/BudgetCategory	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/accepted	http://purl.org/cerif/frapo/Status	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/funded	http://purl.org/cerif/frapo/Status	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/rejected	http://purl.org/cerif/frapo/Status	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/unfunded	http://purl.org/cerif/frapo/Status	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/academic	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/benefactor	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/business-angel	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
http://purl.org/cerif/frapo/entrepreneur	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/
