instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://lawd.info/ontology/addition	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/agreement	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/conjecture	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/correction	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/deletion	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/interpolation	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/intervention	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/omission	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/transposition	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/uncertainReading	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://lawd.info/ontology/variant	http://lawd.info/ontology/Reading	-	http://lawd.info/ontology/readingScheme	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://lawd.info/ontology/
http://inference-web.org/2.0/ds.owl#nil	http://inference-web.org/2.0/ds.owl#List	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://inference-web.org/2.0/ds.owl#
http://kdo.render-project.eu/kdo#negativePolarity	http://kdo.render-project.eu/kdo#Polarity	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kdo.render-project.eu/kdo#
http://kdo.render-project.eu/kdo#neutralPolarity	http://kdo.render-project.eu/kdo#Polarity	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kdo.render-project.eu/kdo#
http://kdo.render-project.eu/kdo#positivePolarity	http://kdo.render-project.eu/kdo#Polarity	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kdo.render-project.eu/kdo#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Appetizer	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#MealCourseType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Baking	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Boiling	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Carbohydrate	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Nutrient	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Cholesterol	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Nutrient	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Cutting	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DairyFreeDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DiabeticDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Easy	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingDifficultyCategory	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#EggFreeDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Expert	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingDifficultyCategory	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Fat	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Nutrient	-	-	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
