instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://sparql.cwrc.ca/ontologies/cwrc#egalitarianism	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#egyptianNationalism	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#elderRights	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#eldestChild	http://sparql.cwrc.ca/ontologies/cwrc#BirthPosition	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#BirthPosition	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#elevatorOperator	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#elocutionist	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#employmentAgent	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#engineering	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#england	-	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#GeographicHeritage	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#englishEthnicity	http://sparql.cwrc.ca/ontologies/cwrc#Ethnicity	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Ethnicity	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#englishGeographicHeritage	http://sparql.cwrc.ca/ontologies/cwrc#GeographicHeritage	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#GeographicHeritage	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#englishLabel	http://sparql.cwrc.ca/ontologies/cwrc#TextLabels	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#TextLabels	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#englishNationalIdentity	-	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#NationalIdentity	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#engraver	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Occupation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#entrepreneurial-industrialist	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
http://sparql.cwrc.ca/ontologies/cwrc#environmentalism	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#PoliticalAffiliation	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#
